RICE_AREA ,WHEAT_AREA,KHARIF_SORGHUM AREA ,RABI_SORGHUM_AREA,SORGHUM_AREA,PEARL_MILLET_AREA,MAIZE_AREA,FINGER_MILLET AREA,BARLEY_AREA,CHICKPEA_AREA,PIGEONPEA_AREA,MINOR_PULSES_AREA,GROUNDNUT_AREA,SESAMUM_AREA,RAPESEED_AND_MUSTARD_AREA,SAFFLOWER_AREA,CASTOR_AREA,LINSEED_AREA,SUNFLOWER_AREA,SOYABEAN_AREA,OILSEEDS_AREA,SUGARCANE_AREA,COTTON_AREA,FRUITS_AREA,VEGETABLES_AREA,FRUITS_AND_VEGETABLES AREA,POTATOES_AREA,ONION_AREA,FODDER_AREA
548,44,0.6,0,0.6,0,3,0.8,0.1,54,37,114.96,0.2,3,1,0.07,0.7,45.7,0,0,50.7,0.9,0,5.95,6.64,12.59,0.01,0.6,0.47
547,50,1.1,0,1.1,0,3,0.9,0.2,52,36,269.54,0.1,11.6,1.1,0.01,0.5,100.1,0,0,113.55,0.8,0,5.77,7.24,13.02,0.01,0.56,1.23
556.3,53.7,0.5,0,0.5,0,2.8,0.8,0.2,51.3,35.7,289.46,0.1,11.3,1.2,0.02,0.6,113.3,0,0,126.62,1,0,5.41,7.4,12.81,0.1,0.58,1.02
563.4,49.4,0.8,0,0.8,0,2.7,0.8,0.2,52.6,35.7,298.18,0.1,11.4,1.2,0.02,0.5,101.1,0,0,114.14,1,0,5.52,7.16,12.69,0.01,0.56,0.84
571.6,44.2,0.9,0,0.9,0,2.5,0.8,0.1,53.3,33.3,342.8,0.1,10.8,1.1,0.02,0.4,114.1,0,0,126.4,0.7,0,5.45,7.19,12.64,0.02,0.52,0.42
581.8,44.4,0.3,0,0.3,0,2.7,0.9,0.2,50.3,33.9,351.5,0.1,10.8,1.1,0.07,0.3,111.7,0,0,124.2,0.5,0,5.42,7.48,12.91,0.01,0.54,0.38
582.2,39.6,0.3,0,0.3,0,2.8,0.8,0.1,52.3,32.8,331.8,0.1,10.4,1.2,0,0.3,111.7,0,0,123.8,0.5,0,5.48,7.53,13.01,0.01,0.55,0.26
600,37.3,0.2,0,0.2,0,2.9,0.8,0.1,56.4,32.2,352.6,0.1,9.6,1.2,0,0.2,118.8,0,0,130.2,0.2,0,5.3,7.6,12.9,0.01,0.53,0.14
587.4,36.5,0.5,0,0.5,0,2.9,0.8,0.2,54.9,32.5,153.1,0,9.9,1.4,0,0.2,85,0,0,96.8,0.8,0,5.21,7.44,12.64,0.03,0.45,0.06
598.3,49.2,0.2,0,0.2,0,2.9,0.8,0.2,58.3,34.2,320.2,0,8.6,1.6,0.1,0.2,120.7,0,0,131.5,0.8,0,5.11,7.86,12.97,0.05,0.52,0.08
593.6,46.9,0.1,0,0.1,0,3,0.8,0.1,52.5,30.9,246.9,0.1,9,0.7,0.1,0.2,95.7,0,0,105.7,0.6,0,4.9,7.86,12.76,0.06,0.46,0.07
600.7,53.1,0.1,0,0.1,0,3.4,0.8,0.1,56.3,30.5,319.8,0.1,9,1.1,0.1,0.2,103.4,0,0,128.6,0.1,0,4.98,8.45,13.43,0.05,0.53,0.32
612.5,48.7,0.1,0,0.1,0,3.4,0.7,0.1,52.1,31.4,308.5,0.1,5.7,1.6,0.2,0.2,111.7,0,0,145.6,0.1,0,4.75,8.67,13.41,0.04,0.43,0.34
616.8,44.6,0.5,0,0.5,0,3,0.7,0.2,65.3,29.6,193.9,0.1,8.5,1.7,0.2,0.1,101.4,0,0.1,102.8,0.1,0,4.76,8.62,13.38,0.06,0.48,0.28
634.9,44.1,0.2,0,0.2,0,3,0.6,0.2,54.2,29.2,310.6,0.1,8.2,1.9,0.3,0.2,96.7,0,0,113.4,0.1,0,4.66,9.57,14.24,0.07,0.47,0.21
630,41.5,0.2,0,0.2,0,3,0.7,0.2,60.9,28.7,318,0.1,8.6,2,0.3,0.3,95.4,0,0,117.1,0.1,0,4.66,9.55,14.21,0.05,0.51,0.27
627.9,41.1,0.1,0,0.1,0,3,0.6,0.1,71.7,24,309,0.1,9.1,1.8,0.4,0,98.1,0,1.2,117.9,0.1,0,4.7,10,14.7,0.08,0.38,0.21
626.7,39.9,0.1,0,0.1,0,3,0.7,0.1,67.7,25.1,347.5,0.1,8.1,2,0.4,0.1,99.9,0,2.2,119.8,0.2,0,4.75,10.27,15.03,0.06,0.46,0.22
632.2,40.5,0.3,0,0.3,0,3.6,0.6,0.1,82.8,26,305,0.2,7.8,2.2,0.5,0.1,98.6,0,2.1,120.3,0.3,0,4.73,10.7,15.43,0.05,0.45,0.17
630.8,39.4,0.3,0,0.3,0,3.8,0.5,0.1,87.9,28.2,333.9,0.3,8.2,2.3,0.4,0.1,109.3,0,1.1,120.3,0.3,0,4.61,11.28,15.89,0.04,0.46,0.29
643,37,0.2,0,0.2,0,4,0.6,0,98,27,225.5,1,7.3,2.2,0.4,0,89.9,0,0.8,97.8,0.4,0,4.8,11.31,16.11,0.06,0.43,0.31
648,43,0.3,0,0.3,0,4,0.4,0,113.5,26,213.2,1,6.8,2.3,0.3,0,84.6,0,0.5,93.2,0.1,0,4.69,12.5,17.18,0.08,0.54,0.15
652.7,43.7,0.1,0,0.1,0,3.8,0.4,0,118.4,25.5,162.4,1.3,7.5,2.5,0.3,0,80.5,0,0.7,86.1,0.2,0,6.35,12.5,18.84,0.08,0.47,0.54
660.2,43.8,0.1,0,0.1,0,3.7,0.4,0,119.6,25.1,183.8,3.3,6.4,2.6,0.2,0,71.7,0,0.7,74.4,0.4,0,4.26,14.37,18.63,0.05,0.42,0.24
682.9,36.2,0.5,0,0.5,0,4,0,0.1,126.2,19,272.1,3.4,7.6,2.75,0.2,0,67.7,0.09,2.03,84,0.07,0,4.26,14.64,18.9,0.06,0.12,0
680.8,34.8,2.3,0,2.3,0,3.8,0,0,117.2,21.9,269.9,2.6,3.5,2.03,0.2,0.1,70,0.12,4.82,86.4,0.46,0,4.42,15.04,19.46,0.06,0.56,0
688,56.1,1.1,0,1.1,0,4.4,0,0,112.6,22.8,270,1.6,2.4,3.16,0.4,0.1,73.4,0.09,9.52,90.8,0.35,0.02,4.19,16.3,20.48,0.06,0.71,0
703.6,33.8,0.2,2.4,2.6,0.01,3.8,0,0,110.6,17.3,303.4,2.5,3.6,3.13,0.4,0,85.4,0.23,28.88,124.2,0.45,0.03,3.9,16.97,20.87,0.07,0.74,0
726.8,36.5,0.3,0,0.3,0,4.8,0,0,124.7,15.6,315.7,1.2,2.9,2.9,0.4,0,92.4,0.25,16.9,117,0.4,0,4.07,16.66,20.74,0.06,0.65,0
723.3,37.1,0.1,0,0.1,0,4.2,0,0.1,124,15.1,318.6,0.9,4.3,2.7,0.3,0,88.9,0.3,24.4,121.9,0.5,0,3.68,18.54,22.22,0.07,0.68,0.39
710.9,36.2,0.3,0,0.3,0.3,3.2,0,0,117.7,12.6,272.3,0.8,4.5,2.4,0.4,0,82.5,0.3,45,136.3,0.6,0,3.56,19.37,22.95,0.07,0.49,0.2
735.7,35.6,1.21,0.02,1.24,0,3.5,0.26,0,111,12.1,282.39,1.4,3,2.6,0.3,0,80.2,0.4,61.6,149.44,0.48,0,3.32,19.78,23.1,0.08,0.45,0.13
786.51,39.96,0.27,0,0.27,0,5.61,0,0,144.25,31.09,258.44,1.38,4.64,4.33,0.4,0,83.45,0,56.07,151.86,1.17,0,3.16,22.81,25.98,0.12,0.43,0.27
769.79,0,0,0,0,0,3.81,0.25,0,118.67,14.87,224.35,1.38,3.88,1.07,0.19,0.02,63.62,0.9,14.56,108.14,1.03,0,3.15,23.8,26.96,0.15,0.5,0.28
748.76,29.9,0.42,0,0.42,0.03,3.94,0.23,0.01,98.52,16.24,26.83,1.29,3.31,2.59,0.03,0.03,43.8,0.38,10.36,61.92,0.93,0,3.16,24.42,27.59,0.12,0.42,0
756.26,34.33,0.28,0,0.28,0.02,3.9,0.22,0.01,117.53,14.56,30.18,1.2,3.1,2.59,0.05,0.05,48.48,0.72,8.25,68.51,1.14,0.01,2.96,26.64,29.62,0.1,0.6,0.15
753.41,33.25,0.22,0,0.22,0.01,3.71,0.23,0.01,122.65,15.66,30.66,1.25,3.91,2.8,0.13,0.01,39.54,0.76,12.88,61.3,1.42,0.02,2.87,26.54,29.41,0.09,0.51,0.15
766.58,37.99,0.17,0,0.17,0,3.4,0.24,0.03,138.93,12.66,32.12,0.96,3.86,2.96,0.31,0.02,39.76,1.38,17.76,61.47,1.99,0.07,2.8,26.68,29.48,0.12,0.63,0.11
775.99,36.43,0.16,0,0.16,0,3.26,0.25,0.01,163.22,12.55,33.57,0.7,2.48,3.57,0.34,0.04,37.48,1.4,27.4,67.23,3.14,0.41,2.66,27.75,30.42,0.1,0.6,0.16
775.99,36.43,0.18,0,0.18,0,3.26,0.25,0.01,163.22,12.55,250.12,0.7,2.48,3.57,0.34,0.04,37.48,1.4,27.4,73.67,3.14,0,2.57,28.64,31.21,0.12,0.57,0.13
781.7,36.81,0.21,0,0.21,0,5.28,0.12,0,170.6,10.79,234.58,0.71,3.6,4.29,0.29,0.04,36.57,1.99,40.33,88.02,6.83,0.19,2.43,29.03,31.47,0.09,0.51,0.09
799.89,37.32,0.17,0,0.18,0,3.3,0.19,0.06,143.2,10.07,225.92,0.56,2.18,3.25,0.22,0.1,27.24,0.92,61.86,96.56,9.84,0.04,2.26,30.42,32.68,0.1,0.39,0.13
803.37,36.46,0.21,0,0.21,0,3.4,0.2,0.06,131.94,9.83,188.25,0.46,1.76,3.63,0.23,0.01,18.05,0.31,70.14,94.77,7.54,0.01,2.16,31.68,33.85,0.16,0.41,0.1
789.04,42.44,0.19,0,0.19,0,3.25,0.17,0.06,147.22,11.33,155.28,0.56,1.83,3.7,0.32,0.02,15.71,0.45,72.21,94.84,7.13,0.01,2.19,30.75,32.94,4.31,0.51,0.06
777.92,46.12,0.23,0.06,0.23,1.67,3.17,0,0.09,184.26,13.02,180.24,0.51,2.2,6.09,0.4,0,12.54,0.4,91.77,114.35,4.42,0,2,32.29,34.3,0.11,0.49,0.15
806.55,44.98,0.26,0,0.26,0,3.63,0.16,0.15,196.27,12.4,72.71,0.54,1.59,3.84,0.15,0,12.7,0.18,87.07,106.25,4.07,0.08,0,0,0,0.12,0.54,0
807.07,43.87,0.7,0,0.7,0,3.12,0.18,0.19,208.6,11.23,160.54,0.48,1.72,3.77,0.36,0.05,11.38,0.19,85.05,104.27,4.97,0.13,1.99,33.7,35.69,0.12,0.54,1.32
819.44,41.54,0,0,0.27,0.08,3.64,0.17,0.22,229.99,11.37,142.9,0.49,1.44,3.57,0.23,0,9.62,0.24,92.28,108.22,3.94,0.05,1.9,32.83,34.74,0.11,0.5,0.77
834.87,44.25,0,0,0.22,0.06,4.02,0.13,0.14,228.75,14.6,144.21,0.43,1.25,3.73,0.23,0.01,7.94,0.2,85.84,99.93,5.75,0.05,0,0,0,0.33,0.51,0
817.68,48.72,0,0,0.18,0,9.87,0.06,0.04,220.27,24.71,121.23,0.44,2.34,4.88,0.36,0.01,7.17,0.05,98.2,113.88,11.23,0.05,0,0,0,0.16,0.46,1.83
858.91,48.94,0,0,0.08,0,7.95,0.06,0.01,227.24,23.18,92.18,0.35,2.06,4.27,0.08,0,0,0.02,81.71,0,18.52,0.06,2.14,39.44,41.59,0.05,0.37,0.05
841.13,43.5,0,0,0.11,0.01,9.25,0.01,0,258.46,26.24,109.08,0.45,1.8,4.7,0.29,0,4.6,0.01,77.4,0,19.85,0.45,0,0,0,0.08,0.19,0
406,2,4.9,0,4.9,0,23,10.4,0,1.9,3,51.7,0,2.6,17.4,0,0.1,1.6,0,0,33.98,0.7,0,1.4,3.44,4.85,0.06,0.18,0
414,2,5.7,0,5.7,0,24,10.7,0,2,3,55.54,0,3.2,17.3,0,0.1,2.9,0,0,35.69,0.9,0,2.1,3.1,5.2,0.06,0.17,1.73
423.2,2.3,6.9,0,6.9,0,24.7,11.4,0,2.5,2.2,57.02,0,3.3,17.8,0,0.1,3.4,0,0,37.22,1.2,0,2.23,3.1,5.33,0.06,0.16,1.53
429.1,2.3,6.8,0,6.8,0,25.1,11,0,2.4,2.2,58.27,0,3.3,18.4,0,0.1,3.5,0,0,38.09,1.2,0,2.13,3.49,5.63,0.08,0.17,1.52
437.7,2.4,6.5,0,6.5,0,25.4,10.8,0,2.2,2.5,57.6,0,3.2,18,0,0.1,4.4,0,0,40.3,1.1,0,2.17,3.8,5.97,0.06,0.18,0.66
445.6,2.5,6.2,0,6.2,0,26.8,10.9,0,2.3,3.3,55.4,0,2.9,19,0,0.1,4.5,0,0,42.5,1.2,0,1.83,4.15,5.98,0.07,0.2,0.52
443.1,2.7,6.6,0,6.6,0,26.8,11.2,0,2,3.1,55,0,2.8,20.4,0.1,0.1,4.6,0,0,43.1,1.1,0,2.09,4.1,6.19,0.06,0.2,0.23
450.5,2.6,8.1,0,8.1,0,27.4,11.8,0,2.1,3.6,58.9,0,3.2,20.9,0,0.1,6,0,0,49.2,1.2,0,1.83,4.52,6.35,0.06,0.19,0.08
451.6,2.4,8.1,0,8.1,0,28.2,11.2,0,1.6,3.5,57.3,0,3.2,21.7,0,0.1,3.9,0,0,50.2,1.2,0,2.12,4.72,6.85,0.06,0.19,0.09
458.3,3.7,9.1,0,9.1,0,29.4,12.2,0,2.1,3.7,56.8,0,2.9,22.9,0,0.1,6.2,0,0,53.3,1.1,0,2.09,4.38,6.47,0.06,0.22,0.13
459.6,3.3,7.4,0,7.4,0,28.7,11.3,0,1.4,3.4,45.6,0,2.2,12.5,0,0.1,4.3,0,0,37.3,0.9,0,2.08,4.63,6.71,0.07,0.03,0.1
473.4,3.3,7.7,0,7.7,0,29.3,10.4,0,2,3,47.3,0,2,15.9,0,0.1,6.2,0,0,44.2,0.8,0,2.1,4.57,6.67,0.07,0.17,0.09
490.4,3,9.1,0,9.1,0,27.6,11.2,0,1.7,3.1,49.6,0,1.7,18.7,0,0.1,7.5,0,0,44.8,0.8,0,2.05,4.47,6.51,0.07,0.16,0.12
497.5,3,9.4,0,9.4,0,27,11.3,0,2.1,2.4,50,0,1.8,17.3,0,0,7.3,0,0,41.3,0.7,0,2.01,4.47,6.49,0.08,0.18,0.13
519.4,2.9,9.4,0,9.4,0,28,10.8,0,1.8,2,51.1,0,1.8,16.7,0,0.1,5.2,0,0,37.5,0.5,0,2.02,4.21,6.23,0.08,0.17,0.11
523.5,3,9,0,9,0,27,11.6,0.1,2,2,50.2,0,2,14.8,0,0,5.6,0,0,38.6,0.6,0,2.08,4.77,6.84,0.08,0.15,0.1
527.7,3.2,9,0,9,0,28,11.8,0.1,2.3,1.9,54.2,0,1.8,14.9,0,0,4.2,0,0.2,41.7,0.6,0,2.06,5.07,7.13,0.08,0.18,0.11
538,2.9,10,0,10,0,29,11.6,0,2.2,2.2,55.1,0,1.8,16.2,0,0,4.1,0,0.3,43.5,0.8,0,2.08,4.92,7,0.06,0.14,0.07
533.4,2.8,9.7,0,9.7,0,28.8,10.7,0,2.4,2.1,52.8,0,2.8,16.5,0,0,4.7,0,0.2,43.7,0.8,0,2.23,4.86,7.09,0.06,0.12,0.04
555.4,2.6,9.3,0,9.3,0,28.7,10.8,0,2.3,2.2,55,0,2,16.5,0,0,4.4,0,0.2,45.4,0.2,0,2.31,5.06,7.37,0.08,0.14,0.03
556,3,9,0,9,0,28,11,0,3,3,54.4,0,2,16.4,0,0,4.5,0,0.2,44.1,0.4,0,2.26,5.21,7.47,0.07,0.11,0.03
555,3,9,0,9,0,28,11,0,3,3,56,0,2.3,16.6,0,0,3.9,0,0.2,45,0.1,0,2.42,5.76,8.17,0.09,0.12,0.03
572.8,2.8,9.4,0,9.4,0,28.6,11.3,0,2.7,3,55.7,0.1,2.5,16.9,0,0,3.7,0,0.2,44.9,0.2,0,2.43,5.76,8.18,0.1,0.2,0.03
571.7,2.6,9,0,9,0,28.4,10.5,0,2.4,3,56.2,0.1,3.3,15.9,0,0,3.2,0,0.1,44.2,0.2,0,2.31,6.01,8.31,0.12,0.21,0.03
579,2,5.6,2.5,8.1,0,27.5,0,0,1.9,2.8,59.3,0.1,2.8,15.3,0,0,3.3,0,0.05,43.7,0.3,0,2.26,6.76,9.02,0.11,0.2,0
582.3,2.2,5.4,2.3,7.7,0,27.5,0,0,1.7,2.6,59.5,0,2.5,15.26,0,0,3,0.04,0.02,43.6,0.17,0,2.24,7.38,9.62,0.31,0.26,0
584.4,1.6,5.3,2.2,7.5,0,27.5,0,0,1.7,2.7,57.5,0,2.4,11.99,0,0,2.8,0.11,0.94,40.6,0.37,0,2.28,7.44,9.71,0.13,0.14,0
605.3,1.8,5.5,0,5.5,0,27.2,0,0,2,2.8,60.9,0.1,2.8,12.77,0,0,3.6,0.07,0.69,42.2,0.24,0,2.28,8.03,10.3,0.15,0.26,0
609.9,1.6,5.3,2.1,7.4,0,25.5,0,0,1.9,2.6,57.4,0.1,2.4,12.4,0,0,4.7,0.05,0.4,41.8,0.3,0,2.27,8.79,11.06,0,0,0
619,1.6,5,2,7,0,24.7,0,0,2,2.4,60,0.1,2.6,11.7,0,0,5.2,0,0.3,41.5,0.3,0,2.36,8.38,10.75,0.17,0.32,0.01
644.1,2,6.1,5.8,11.9,0,24.4,0,0,2,2.4,73.1,0.1,2.9,11.4,0,0,5.1,0,0.3,55.6,0.4,0,2.38,8.44,10.83,0.18,0.29,0.01
622.8,1.4,4.62,1.81,6.43,0,24.5,7.93,0,1.4,2.4,58.55,0.1,3.1,10.3,0,0,4.8,0,0.2,39.17,0.29,0,2.32,8.76,11.08,0.18,0.28,0.01
627.1,2.4,9,1.8,10.8,0,37.1,0,0,3.1,3.4,91.9,0.3,6.3,16.2,0,0,6.8,0,0.2,52.3,0.3,0.1,2.35,9.75,12.1,0.2,0.22,0
628.47,0,0,0,0,0,25,7.89,0,1.54,2.33,28.46,0,3.4,10.08,0,0,3.44,0.04,0.16,9.1,0.37,0.1,2.6,9.94,12.53,0.2,0.3,0
628.03,1.7,5.83,0,5.83,0,24.71,7.76,0,1.28,2.4,66.02,0.08,3.51,9.14,0.01,0.01,2.24,0.05,0.15,15.17,0.44,0.06,2.54,10.4,12.94,0.23,0.31,0
633.99,2.5,5.3,0,5.3,0,25.06,7.64,0,1.42,2.75,65.49,0.05,3.13,9.25,0.02,0.02,2.46,0.2,0.11,15.21,0.33,0.09,2.86,10.93,13.78,0.19,0.29,0
623.9,2.09,3.74,0,3.74,0,25.26,7.6,0,1.1,2.75,61.28,0.06,3.06,6.76,0,0.01,1.22,0.12,0.11,11.32,0.32,0.07,2.64,11.11,13.75,0.17,0.32,0.01
632.58,2.42,3.61,0,3.61,0,29.48,7.72,0,1.46,2.85,61.52,0.06,3.16,7.53,0.01,0.02,1.94,0.07,0.07,27.13,0.44,0.01,2.55,11.76,14.31,0.16,0.3,0
635.47,2.17,3.55,0,3.55,0,30.19,7.41,0,1.39,2.84,60.9,0.03,3.21,7.34,0,0.03,2.12,0.07,0.06,29.42,0.31,0,2.63,11.92,14.56,0.18,0.3,0
635.47,2.17,4.56,0,4.56,0,30.19,7.41,0,1.39,2.84,48.87,0.03,3.21,7.34,0,0.03,2.12,0.07,0.06,29,0.31,0,2.72,12.3,15.01,0.17,0.3,0
546.54,1.92,1.56,0,4.52,0,31.15,7.2,0,1.47,2.84,47.91,0.05,3.51,7.28,0,0.01,1.97,0.07,0.06,28.87,0.96,0,2.69,11.18,13.87,0.16,0.32,0
626.07,1.68,1.59,0.6,2.2,0,32.66,7.15,0,1.53,2.4,34.04,0.04,2.73,7.06,0.01,0,1.93,0.04,0.05,11.56,1.3,0,2.75,11.69,14.43,0.18,0.3,0
627.78,1.71,1.52,0.56,2.08,0,33.41,6.88,0,1.46,2.35,31.66,0.05,2.56,6.73,0.01,0,1.64,0.05,0.03,10.82,1.19,0,2.76,11.99,14.74,0.19,0.21,0
