RICE_PRODUCTION ,WHEAT_PRODUCTION ,KHARIF_SORGHUM_PRODUCTION,RABI_SORGHUM_PRODUCTION,SORGHUM_PRODUCTION,PEARL_MILLET_PRODUCTION,MAIZE_PRODUCTION,FINGER_MILLET_PRODUCTION,BARLEY_PRODUCTION,CHICKPEA_PRODUCTION,PIGEONPEA_PRODUCTION,MINOR_PULSES_PRODUCTION,GROUNDNUT_PRODUCTION,SESAMUM_PRODUCTION,RAPESEED_AND_MUSTARD_PRODUCTION,SAFFLOWER_PRODUCTION,CASTOR_PRODUCTION,LINSEED_PRODUCTION,SUNFLOWER_PRODUCTION,SOYABEAN_PRODUCTION,OILSEEDS_PRODUCTION,SUGARCANE_PRODUCTION,COTTON_PRODUCTION
185,20,0.4,0,0.4,0,2,0.2,0,27,15,-1,0.1,0.3,0.2,0,0.2,6.8,0,0,-1,1.6,0
409,26,0.9,0,0.9,0,3,0.2,0.1,15,26,-1,0.1,0.9,0.3,0,0.1,25.8,0,0,-1,1.2,0
468,30,0.4,0,0.4,0,2,0.2,0.1,23,28,-1,0.1,1.6,0.5,0,0.3,23.8,0,0,-1,1,0
400.8,26.5,0.6,0,0.6,0,2.3,0.2,0.1,23.1,27.3,98.3,0.1,1.4,0.4,0,0.1,13,0,0,14.9,1.9,0
473.6,29,0.6,0,0.6,0,3.3,0.2,0.1,32.6,35.2,142.9,0.1,1.1,0.4,0,0.1,22.7,0,0,24.3,1.4,0
412.9,25.8,0.2,0,0.2,0,3.1,0.2,0.1,32.8,34.6,154.9,0,1,0.4,0,0.1,18.5,0,0,20.2,1,0
381,20.6,0.3,0,0.3,0,3.2,0.1,0.1,32.6,42.4,100.6,0,1.9,0.7,0,0.1,22.7,0,0,25.4,1,0
471.9,18.6,0.2,0,0.2,0,2.7,0.2,0.1,32.4,22.8,106.4,0,1.3,0.7,0,0.1,28,0,0,30.3,1.2,0
219,22.4,0.4,0,0.4,0,2.9,0.3,0.1,41,37.6,61.3,0,1.4,0.8,0,0.1,21.4,0,0,23.9,1.5,0
454,27.8,0.2,0,0.2,0,2.9,0.2,0.2,30.2,26.7,121.2,0,0.9,0.9,0,0.1,28.7,0,0,30.8,1.4,0
327.1,10,0.1,0,0.1,0,2,0.2,0.1,13.4,11.3,34,0,0.4,0.1,0,0.1,6.5,0,0,7.1,0.8,0
572.4,27.1,0.1,0,0.1,0,2.8,0.2,0.1,17.7,16,101.7,0,1,0.3,0,0.1,23.2,0,0,24.5,0.3,0
362.2,25.6,0.1,0,0.1,0,2.9,0.2,0.1,17,24.8,67.9,0.1,0.5,0.5,0,0.1,13.4,0,0,17.5,0.2,0
330.6,17.8,0.5,0,0.5,0,3.6,0.2,0,15.7,16.9,35.7,0.2,0.6,0.3,0,0,5.3,0,0,5.4,0.1,0
515.6,33.6,0.2,0,0.2,0,2.8,0.2,0.1,18,22.9,100.8,0.2,0.9,0.7,0.1,0.1,17.2,0,0,19.8,0.1,0
506.9,23.6,0.2,0,0.2,0,3,0.2,0.1,23.1,31.2,63.3,0.1,1,0.9,0.1,0.1,12.1,0,0,15.8,0.1,0
513.3,23.9,0.1,0,0.1,0,3.1,0.2,0.1,27.9,18.8,82.8,0.1,0.9,0.7,0.1,0,12.3,0,0.7,15.9,0.2,0
711,20.6,0.1,0,0.1,0,3.7,0.2,0,24.7,25.9,105.3,0.1,1,0.9,0.1,0,18.1,0,1.2,22.4,0.3,0
563.8,19.9,0.3,0,0.3,0,4.1,0.2,0.1,40,27.1,70.6,0.2,0.9,1,0.1,0,13.3,0,1.3,18.1,0.5,0
699.8,21,0.2,0,0.2,0,3,0.1,0.1,38.1,31.8,89.4,0.3,1.1,0.7,0.1,0,15.6,0,0.7,19,0.3,0
525,24,0.1,0,0.1,0,3,0.1,0,55,29,63.5,1,0.5,0.7,0.1,0,16.7,0,0.4,18.6,0.5,0
523,23,0.2,0,0.2,0,3,0.1,0,52.1,26,69.5,1,1.1,1.2,0.1,0,12.2,0,0.3,22.4,0.3,0
549.7,20.2,0.1,0,0.1,0,4,0.1,0,57,29.1,47.7,1.3,1.4,1.4,0.1,0,9.6,0,0.6,15,0.5,0
457.3,22.7,0.1,0,0.1,0,4.8,0.1,0,60.5,26.9,48.4,2.8,1.3,1.4,0,0,11.1,0,0.5,17,0.7,0
806.8,24.8,0.4,0,0.4,0,3.8,0,0.1,64.6,19.6,95.2,2.9,1.2,1.58,0,0,12.3,0,1.58,19.6,0.1,0
773.6,21.6,1.8,0,1.8,0,3.5,0,0,75.7,22.8,134.8,2.7,0.5,1.17,0.1,0,18.3,0.03,3.17,26,0.9,0
777.3,20.5,1,0,1,0,6,0,0,63.4,23.6,104.9,2.3,0.4,1.9,0.1,0,16.6,0.02,6.72,28.2,0.6,0
876.7,23.8,0.2,3.4,3.6,0.01,4.2,0,0,69.5,18.8,130,2.6,0.6,1.58,0.1,0,17.8,0.07,25.64,48.4,0.8,0
967.9,29.4,0.2,0,0.2,0,4.3,0,0,81.5,15.9,127.2,1.2,0.4,1.8,0.1,0,23,0.08,13.4,40,0.7,0
1052,26.5,0.1,0,0.1,0,5.6,0,0.1,61.3,12.9,80.9,1,0.8,1.3,0.2,0,15.3,0.1,21.1,40,0.8,0
917.2,29.1,0.2,0,0.2,0.3,4.1,0,0,78.1,12.3,120.7,0.8,0.7,1.2,0.2,0,22.6,0.1,31,57.6,1.1,0
837.5,18.3,0.1,0,0.1,0,3.2,0,0,48.8,7.2,11.3,1.4,0.4,1,0.1,0,10.5,0.1,48.9,62.4,0.9,0
684.62,24.84,0.27,0,0.27,0,5.68,0,0,85.26,29.43,92.31,1.38,0.81,2.05,0.1,0,16.78,0,26.09,47.57,2.27,0
963.04,0,0,0,0,0,4.98,0.07,0,79.51,15.12,96.35,1.38,0.85,0.89,0.06,0,16.11,0.64,10.24,35.93,3.43,0
467.89,17.59,0.23,0,0.23,0.02,3.12,0.07,0,49.93,5.61,7.55,1.15,0.51,0.65,0.02,0.01,9.05,0.26,5.7,17.34,0.17,0
978.69,24.11,0.25,0,0.25,0,2.62,0.06,0.01,86.49,5.58,9.08,1.71,0.7,0.84,0.04,0.02,13.03,0.51,6.01,22.84,0.21,0
484.9,25.09,0.21,0,0.21,0,4.76,0.05,0.01,78.25,6.33,8.27,1.67,1,0.85,0.04,0,11.09,0.53,6.91,22.07,0.29,0.01
1145.82,29.58,0.15,0,0.15,0,3.35,0.08,0.02,136.35,7.39,10.22,1.33,1.06,1.11,0.08,0,12.17,0.92,15.27,22.11,0.41,0.05
984.31,23.19,0.11,0,0.11,0,3.87,0.09,0.01,81.77,6.26,9.43,1.08,0.74,1.22,0.08,0.02,8.29,0.97,25.72,31.95,0.65,0.21
984.31,23.19,0.11,0,0.11,0,3.87,0.09,0.01,81.77,6.26,74.99,1.08,0.74,1.22,0.08,0.02,8.29,0.97,25.72,38.16,0.65,0
1177.1,26.62,0.15,0,0.15,0,5.03,0.04,0,123.47,4.65,127.67,1.04,1.04,1.26,0.08,0.01,9.28,1.25,35.86,49.86,0.72,0.05
1095.84,34.38,0.03,0,0.17,0,3.82,0.05,0.07,130.29,4.96,404.31,0.87,0.65,1.22,0.05,0.04,8.44,0.74,71.13,82.96,1.21,0.01
704.09,31.19,0.07,0,0.26,0,3.35,0.06,0.06,113.04,5.41,149.66,0.72,0.44,1.23,0.06,0,4.59,0.22,66.01,73.18,0.84,0.01
622.05,38.12,0.07,0,0.22,0,3.4,0.04,0.01,130.06,5.88,67.34,1.02,0.74,1.58,0.07,0,4.24,0.3,64.92,72.74,1.65,0
1319.18,45.87,0.32,0,0.32,2.41,4.63,0,0.07,174.84,5.24,91.25,0.96,0.57,2.17,0.1,0,3.14,0.29,105.41,112.83,1.13,0
1416.48,50.19,0.2,0,0.2,0,4.67,0.04,0.17,197.94,5.46,32.84,0.84,0.55,1.61,0.03,0,4.96,0.15,69.83,78.18,2.06,0.02
1534.22,47.69,0.49,0,0.49,0,4.8,0.05,0.11,235.92,6.1,60.53,0.72,0.47,1.64,0.09,0.02,4.76,0.14,101.62,109.66,1.26,0.02
1296.24,43.33,0,0,0.17,0.07,6.34,0.04,0.12,173.91,5.68,56.73,0.9,0.37,1.68,0.05,0,3.38,0.11,92.65,99.31,0.93,0.01
1444.24,50.96,0,0,0.18,0.04,5.84,0.03,0.11,241.58,9.18,97.92,0.7,0.53,1.76,0.05,0,3.04,0.1,39.93,46.2,3.46,0.02
880.6,54.6,0,0,0.19,0,14.47,0.01,0.03,166.24,11.01,47.02,0.75,0.87,2.41,0.12,0,2.34,0.04,49.1,37.19,2.57,0.01
1791.66,61.84,0,0,0.13,0,16.12,0.01,0.01,264.01,14.82,92.38,0.7,0.78,1.89,0.03,0,0,0,60.69,0,7.21,0.02
